Nazwa,Numer,Id
Centrum Medycyny Inwazyjnej,2,1921
Zabytkowa,1,1922
Zabytkowa,2,1923
Cmentarz Srebrzysko,1,1924
Cmentarz Srebrzysko,2,1925
Trawki,1,1926
Chrzanowskiego,3,1927
Przytulna,1,1929
Szczęśliwa,2,1930
Szczęśliwa,1,1931
Porębskiego,2,1932
Porębskiego,1,1933
Osiedle Świętokrzyskie,2,1956
Osiedle Świętokrzyskie,1,1957
Osiedle Świętokrzyskie,3,1958
Elfów,1,1959
Elfów,2,1960
Baśniowa,2,1961
Baśniowa,1,1962
Rębowo,2,1963
Rębowo,1,1964
Czermińskiego,2,1965
Leszczynowa,1,1968
Leszczynowa,2,1969
Jabłoniowa Osiedle,1,1970
Jabłoniowa Osiedle,2,1971
Wilanowska,4,1979
Wilanowska,3,1980
Przemyska,5,1981
Piotrkowska,2,1983
Jeleniogórska,1,1984
Jeleniogórska,2,1985
Żaglowa - AmberExpo,4,1993
Żaglowa - AmberExpo,3,1994
Uczniowska,2,1996
al. Płażyńskiego,4,1997
al. Płażyńskiego,3,1998
al. Płażyńskiego,5,1999
Dworzec Główny,1,2001
Dworzec Główny,2,2002
Brama Oliwska,1,2005
Brama Oliwska,2,2006
Chodowieckiego,1,2007
Chodowieckiego,2,2008
Uniwersytet Medyczny,1,2009
Uniwersytet Medyczny,2,2010
Traugutta,1,2011
Traugutta,2,2012
Opera Bałtycka,3,2013
Opera Bałtycka,2,2014
Opera Bałtycka,1,2015
Politechnika,2,2016
Politechnika,1,2017
Miszewskiego,2,2018
Miszewskiego,1,2019
Jaśkowa Dolina,2,2020
Jaśkowa Dolina,1,2021
Klonowa,2,2022
Klonowa,1,2023
Galeria Bałtycka,2,2024
Galeria Bałtycka,1,2025
Wojska Polskiego,2,2026
Wojska Polskiego,1,2027
Zamenhofa,2,2028
Zamenhofa,1,2029
Zajezdnia,2,2030
Zajezdnia,1,2031
Strzyża PKM,1,2033
Strzyża PKM,2,2034
Uniwersytet Gdański,1,2035
Uniwersytet Gdański,2,2036
Bażyńskiego,1,2037
Bażyńskiego,2,2038
Tetmajera,1,2039
Tetmajera,2,2040
Derdowskiego,1,2041
Derdowskiego,2,2042
Obrońców Westerplatte,1,2043
Obrońców Westerplatte,2,2044
Oliwa,1,2045
Oliwa,2,2046
Opacka,1,2047
Opacka,2,2048
Subisława,1,2049
Subisława,2,2050
Pomorska - Osiedle,1,2051
Pomorska - Osiedle,2,2052
Gospody,2,2054
Osiedle Wejhera,1,2055
Osiedle Wejhera,2,2056
Helska,1,2057
Helska,2,2058
Plac Solidarności,1,2061
Plac Solidarności,2,2062
Stocznia SKM,1,2063
Stocznia SKM,2,2064
Stocznia Północna,1,2065
Stocznia Północna,2,2066
Twarda,1,2067
Twarda,2,2068
Kliniczna,1,2069
Kliniczna,2,2070
Wyspiańskiego,1,2071
Wyspiańskiego,2,2072
Reja,1,2073
Reja,2,2074
Mickiewicza,1,2075
Mickiewicza,2,2076
Plac Komorowskiego,1,2077
Plac Komorowskiego,2,2078
Legionów,1,2079
Legionów,2,2080
Bajana,1,2081
Bajana,2,2082
Żwirki i Wigury,1,2083
Żwirki i Wigury,2,2084
Jana Pawła II,1,2085
Jana Pawła II,2,2086
Startowa,1,2087
Startowa,2,2088
Zaspa,1,2089
Zaspa,2,2090
Kołobrzeska,1,2091
Kołobrzeska,2,2092
Bora Komorowskiego,1,2093
Bora Komorowskiego,2,2094
Czerwony Dwór,1,2095
Czerwony Dwór,2,2096
Piastowska,1,2097
Piastowska,2,2098
Pomorska,1,2099
Pomorska,2,2100
Brama Wyżynna,2,2101
Brama Wyżynna,1,2102
Okopowa,2,2103
Okopowa,1,2104
Żabi Kruk,1,2105
Żabi Kruk,2,2106
Chmielna,2,2107
Chmielna,1,2108
Akademia Muzyczna,2,2109
Akademia Muzyczna,1,2110
Brama Żuławska,1,2113
Brama Żuławska,2,2114
Głęboka,2,2115
Głęboka,1,2116
Przeróbka,2,2117
Przeróbka,1,2118
Lenartowicza,2,2119
Lenartowicza,1,2120
Sucharskiego,2,2121
Sucharskiego,1,2122
Kaczeńce,1,2123
Kaczeńce,2,2124
Lessowa,2,2125
Lessowa,1,2126
Zimna,1,2127
Zimna,2,2128
Stogi,3,2129
Stogi,2,2130
Rozłogi,1,2131
Urząd Miejski,1,2133
Chmielna,4,14424
Hucisko,2,2137
Stogi,8,14425
Hucisko,1,2138
Powstańców Warszawskich,2,2139
Subisława,3,14427
Powstańców Warszawskich,1,2140
Paska,2,2141
Paska,1,2142
Pastelowa,1,14430
Ciasna,2,2143
Pastelowa,2,14431
Ciasna,1,2144
Meteorytowa,1,14432
Dwór Ferberów,1,14433
Zakopiańska,2,2145
Zakopiańska,1,2146
Skrajna,2,2147
Skrajna,1,2148
Siedlce,2,2149
Siedlce,1,2150
Węzeł Kliniczna,1,2153
Węzeł Kliniczna,2,2154
Cmentarna,2,14442
Swojska,1,2155
Leśna Góra,1,14443
Swojska,2,2156
Leśna Góra - Przychodnia,1,14444
Żaglowa - AmberExpo,2,2157
Leśna Góra - Przychodnia,2,14445
Żaglowa - AmberExpo,1,2158
Reymonta,2,14446
Mostostal,2,2159
Mjr Hubala,2,14447
Mostostal,1,2160
Mjr Hubala,1,14448
Stadion,2,2161
Meczet,1,14449
Stadion,1,2162
Meczet,2,14450
Śnieżna,1,2163
Szpital Marynarki Wojennej,2,14451
Śnieżna,2,2164
Szpital Marynarki Wojennej,1,14452
Marynarki Polskiej,1,2165
Jasia i Małgosi,2,14453
Marynarki Polskiej,2,2166
Jasia i Małgosi,1,14454
Plac Wolności,3,2167
Bażyńskiego,7,14455
Nowy Port Zajezdnia,3,2168
Bażyńskiego,6,14456
Władysława IV,1,2169
Mickiewicza,3,2171
Meteorytowa,2,14459
Kościuszki,1,2172
Zajezdnia NOWY PORT,T2,14460
Kościuszki,2,2173
Kolonia Uroda,1,2174
Kolonia Uroda,2,2175
Grudziądzka,1,2176
Śródmieście SKM,1,14464
Grudziądzka,2,2177
al. Płażyńskiego,2,2178
al. Płażyńskiego,1,2179
Górecka,1,14468
Gdańska,1,2181
Górecka,2,14469
Sternicza,1,2183
Dworska,2,2184
Wczasy,1,2186
Uczniowska,1,2187
Mazurska,1,2188
Brzeźno,3,2189
Brzeźno,2,2190
Krasickiego,2,2191
Krasickiego,1,2192
Latarnia Morska,1,2193
Latarnia Morska,2,2194
Kasztanowa,2,2195
Kasztanowa,1,2196
Na Zaspę,1,2197
Rybołowców,2,2198
Przychodnia,1,2200
Śródmieście SKM,2,2207
Pohulanka,2,2211
Pohulanka,1,2212
Odrzańska,2,2213
Odrzańska,1,2214
Chałubińskiego,2,2215
Chałubińskiego,1,2216
Sikorskiego,2,2217
Sikorskiego,1,2218
Chełm Witosa,2,2219
Cieszyńskiego,2,2221
Cieszyńskiego,1,2222
Cebertowicza,2,2223
Cebertowicza,1,2224
Wilanowska,2,2225
